TEAM;NAME;ROLE;BIRTH;HEIGHT;NATIONALITY 
Imoco Volley Conegliano;WOLOSZ JOANNA;PALLEGGIATRICE;1990;181;POL 
Imoco Volley Conegliano;HILL KIMBERLY;SCHIACCIATRICE;1989;193;USA 
Imoco Volley Conegliano;SYLLA MIRIAM;SCHIACCIATRICE;1995;181;ITA 
Imoco Volley Conegliano;EGONU PAOLA;OPPOSTO;1998;190;ITA 
Imoco Volley Conegliano;FAHR SARAH;CENTRALE;2001;192;ITA 
Reale Mutua Fenera Chieri;ALHASSAN RHAMAT;CENTRALE;1996;195;USA 
Reale Mutua Fenera Chieri;PERINELLI ELENA;SCHIACCIATRICE;1995;181;ITA 
Reale Mutua Fenera Chieri;BOSIO FRANCESCA;PALLEGGIATRICE;1997;180;ITA 
Reale Mutua Fenera Chieri;FRANTTI ALEXANDRA;SCHIACCIATRICE;1996;185;USA 
Reale Mutua Fenera Chieri;MAYER VICTORIA;PALLEGGIATRICE;2001;180;ARG 
Reale Mutua Fenera Chieri;GIBERTINI GIULIA;LIBERO;1984;172;ITA 
Reale Mutua Fenera Chieri;GROBELNA KAJA;OPPOSTO;1995;188;BEL 
Reale Mutua Fenera Chieri;VILLANI FRANCESCA;SCHIACCIATRICE;1995;187;ITA 
Reale Mutua Fenera Chieri;DE BORTOLI CHIARA;LIBERO;1997;176;ITA 
Reale Mutua Fenera Chieri;LAAK KERTU;OPPOSTO;1998;188;EST 
Reale Mutua Fenera Chieri;MAZZARO ALESSIA;CENTRALE;1998;185;ITA 
Reale Mutua Fenera Chieri;ZAMBELLI MARINA;CENTRALE;1990;187;ITA 
Reale Mutua Fenera Chieri;MEIJERS ANNICK;SCHIACCIATRICE;2000;188;NED 
Saugella Monza;CARRARO GIULIA;PALLEGGIATRICE;1994;175;ITA 
Saugella Monza;SQUARCINI FEDERICA;CENTRALE;2000;183;ITA 
Saugella Monza;HEYRMAN LAURA;CENTRALE;1993;188;BEL 
Saugella Monza;VAN HECKE LISE;OPPOSTO;1992;192;BEL 
Saugella Monza;ORRO ALESSIA;PALLEGGIATRICE;1998;180;ITA 
Saugella Monza;BEGIC EDINA;SCHIACCIATRICE;1992;185;BIH 
Saugella Monza;DANESI ANNA;CENTRALE;1996;196;ITA 
Saugella Monza;ORTHMANN HANNA;SCHIACCIATRICE;1998;188;GER 
Saugella Monza;MEIJNERS FLOORTJE;SCHIACCIATRICE;1987;192;NED 
Saugella Monza;OBOSSA JOSEPHINE;OPPOSTO;1999;183;ITA 
Saugella Monza;DAVYSKIBA HANNA;SCHIACCIATRICE;2000;188;BLR 
Saugella Monza;PARROCCHIALE BEATRICE;LIBERO;1995;167;ITA 
Saugella Monza;NEGRETTI BEATRICE;LIBERO;1999;170;ITA 
Savino Del Bene Scandicci;STYSIAK MAGDALENA;OPPOSTO;2000;203;POL 
Savino Del Bene Scandicci;MALINOV OFELIA;PALLEGGIATRICE;1996;180;ITA 
Savino Del Bene Scandicci;POPOVIC MINA;CENTRALE;1994;187;SRB 
Savino Del Bene Scandicci;MARKOVIC SRNA;SCHIACCIATRICE;1996;184;AUT 
Savino Del Bene Scandicci;PIETRINI ELENA;SCHIACCIATRICE;2000;186;ITA 
Savino Del Bene Scandicci;MERLO ENRICA;LIBERO;1988;170;ITA 
Savino Del Bene Scandicci;LUBIAN MARINA;CENTRALE;2000;192;ITA 
Savino Del Bene Scandicci;CAROCCI LUNA VERONICA;LIBERO;1988;174;ITA 
